"order_number","sub_order","fulfillment_center_name","client_name","prod_num","qty"
"5631724200","6027040772","DELFC4","RSR INFORMATICS PVT-PAYTM","153469322",1
"5692477613","6092916641","DELFC4","RSR INFORMATICS PVT-PAYTM","153469322",1
"5693251729","6093751869","DELFC4","RSR INFORMATICS PVT-PAYTM","153469322",1
"5693522470","6094041762","DELFC4","RSR INFORMATICS PVT-PAYTM","153469322",1
"5693522570","6094041868","DELFC4","RSR INFORMATICS PVT-PAYTM","153469322",1
"5693535041","6094055145","DELFC4","RSR INFORMATICS PVT-PAYTM","153469322",1
"5693743122","6094278654","DELFC4","RSR INFORMATICS PVT-PAYTM","153469322",1
"5693883771","6094429093","DELFC4","RSR INFORMATICS PVT-PAYTM","153469322",1
"5694892492","6095500169","DELFC4","RSR INFORMATICS PVT-PAYTM","153469322",1
"5695947717","6096629268","DELFC4","RSR INFORMATICS PVT-PAYTM","153469322",1
"5696145297","6096843492","DELFC4","RSR INFORMATICS PVT-PAYTM","153469322",1
"5696196938","6096899488","DELFC4","RSR INFORMATICS PVT-PAYTM","153469322",1
"5696770938","6097537619","DELFC4","RSR INFORMATICS PVT-PAYTM","153469322",1
"5696865829","6097645501","DELFC4","RSR INFORMATICS PVT-PAYTM","153469322",1
"5697884704","6098748927","DELFC4","RSR INFORMATICS PVT-PAYTM","153469322",1
"5698201291","6099089041","DELFC4","RSR INFORMATICS PVT-PAYTM","153469322",1
"5693409431","6093921187","DELFC4","RSR INFORMATICS PVT-PAYTM","172703971",1
"5693462027","6093977106","DELFC4","RSR INFORMATICS PVT-PAYTM","172703971",1
"5695329344","6095965736","DELFC4","RSR INFORMATICS PVT-PAYTM","172703971",1
"5695934950","6096615547","DELFC4","RSR INFORMATICS PVT-PAYTM","172703971",1
"5696549527","6097288820","DELFC4","RSR INFORMATICS PVT-PAYTM","172703971",1
"5698521023","6099433371","DELFC4","RSR INFORMATICS PVT-PAYTM","172703971",1
"5693252305","6093752485","DELFC4","RSR INFORMATICS PVT-PAYTM","172817882",1
"5693296488","6093800019","DELFC4","RSR INFORMATICS PVT-PAYTM","172817882",1
"5693400570","6093911776","DELFC4","RSR INFORMATICS PVT-PAYTM","172817882",1
"5693409837","6093921619","DELFC4","RSR INFORMATICS PVT-PAYTM","172817882",1
"5693443193","6093957200","DELFC4","RSR INFORMATICS PVT-PAYTM","172817882",1
"5693455762","6093970478","DELFC4","RSR INFORMATICS PVT-PAYTM","172817882",1
"5693482469","6093999080","DELFC4","RSR INFORMATICS PVT-PAYTM","172817882",1
"5693508269","6094026509","DELFC4","RSR INFORMATICS PVT-PAYTM","172817882",1
"5693524958","6094044412","DELFC4","RSR INFORMATICS PVT-PAYTM","172817882",1
"5693551410","6094072774","DELFC4","RSR INFORMATICS PVT-PAYTM","172817882",1
"5693575733","6094098931","DELFC4","RSR INFORMATICS PVT-PAYTM","172817882",1
"5693827770","6094369075","DELFC4","RSR INFORMATICS PVT-PAYTM","172817882",1
"5693868262","6094412533","DELFC4","RSR INFORMATICS PVT-PAYTM","172817882",1
"5693924096","6094471990","DELFC4","RSR INFORMATICS PVT-PAYTM","172817882",1
"5693972599","6094523936","DELFC4","RSR INFORMATICS PVT-PAYTM","172817882",1
"5694426682","6095006561","DELFC4","RSR INFORMATICS PVT-PAYTM","172817882",1
"5696848294","6097625216","DELFC4","RSR INFORMATICS PVT-PAYTM","172817882",1
"5697817747","6098677292","DELFC4","RSR INFORMATICS PVT-PAYTM","172817882",1
"5698018635","6098892758","DELFC4","RSR INFORMATICS PVT-PAYTM","172817882",1
"5698317078","6099213388","DELFC4","RSR INFORMATICS PVT-PAYTM","172817882",1
"5699889086","6100907310","DELFC4","RSR INFORMATICS PVT-PAYTM","172817882",1
"5692923316","6093397589","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5693231467","6093729905","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5693463485","6093978729","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5693638933","6094166732","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5693647094","6094175641","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5693671277","6094201683","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5693699007","6094231501","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5693830364","6094371851","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5694424679","6095004422","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5694469985","6095052508","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5694861134","6095466777","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5694906893","6095515677","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5695119174","6095741542","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5695390771","6096031250","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5695440300","6096084180","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5695925573","6096605428","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5696005512","6096691839","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5696026614","6096714558","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5696485123","6097216921","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5697683105","6098531394","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5698360161","6099259737","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5698628371","6099549530","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5698978382","6099928635","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5699042738","6099998139","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5699079012","6100037134","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5699451106","6100437425","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5700466940","6101530427","DELFC4","RSR INFORMATICS PVT-PAYTM","173328189",1
"5696689691","6097446594","DELFC4","RSR INFORMATICS PVT-PAYTM","174500733",1
"5697010655","6097806259","DELFC4","RSR INFORMATICS PVT-PAYTM","174500733",1
"5697973024","6098843441","DELFC4","RSR INFORMATICS PVT-PAYTM","174500733",1
"5698981361","6099931836","DELFC4","RSR INFORMATICS PVT-PAYTM","174500733",1
"5699404352","6100387622","DELFC4","RSR INFORMATICS PVT-PAYTM","174500733",1
"5693434432","6093947834","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5693825523","6094366716","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5694249754","6094819315","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5694265525","6094836034","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5694291227","6094863207","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5695660329","6096320101","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5695782467","6096451256","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5695876318","6096552213","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5696023918","6096711560","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5696059607","6096750400","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5696718221","6097478793","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5696750412","6097514724","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5696906722","6097692442","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5697009046","6097804415","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5697083488","6097884887","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5697139894","6097945924","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5697411415","6098238448","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698226053","6099115632","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698261727","6099153784","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698316206","6099212476","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698358479","6099257927","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698394992","6099297223","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698433011","6099338107","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698465792","6099373746","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698500074","6099410740","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698533071","6099446320","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698571190","6099487514","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698634376","6099555930","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698651251","6099574354","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698673941","6099598976","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698696150","6099622846","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698709175","6099636995","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698745921","6099676907","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698798870","6099734176","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698839430","6099778193","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698903637","6099847556","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698903859","6099847789","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698904389","6099848377","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5698999211","6099951006","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699024000","6099977781","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699070992","6100028472","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699142283","6100105537","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699182211","6100148688","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699280524","6100254326","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699382804","6100364260","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699473236","6100460985","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699506970","6100496951","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699516546","6100507192","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699624989","6100622936","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699816357","6100829081","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699873095","6100890015","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5699918344","6100938813","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5700005169","6101032463","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5700145977","6101184754","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5700181369","6101222940","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5700249425","6101296229","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5700455099","6101517670","DELFC4","RSR INFORMATICS PVT-PAYTM","174500737",1
"5696239006","6096945301","DELFC4","RSR INFORMATICS PVT-PAYTM","183924682",1
